tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,store_and_fwd_flag,PULocationID,DOLocationID,fare_amount,tip_amount
01/01/2020 00:01:58,01/01/2020 00:04:16,1,0,No,193,193,3.5,0
01/01/2020 00:39:25,01/01/2020 00:39:29,1,0,No,193,193,2.5,0.01
12/18/2019 15:27:49,12/18/2019 15:28:59,1,0,No,193,193,0.01,0
12/18/2019 15:30:35,12/18/2019 15:31:35,4,0,No,193,193,2.5,0
01/01/2020 00:25:39,01/01/2020 00:27:05,1,0,No,170,162,3,0
01/01/2020 00:54:28,01/01/2020 00:58:41,1,0.6,No,170,137,-4.5,0
01/01/2020 00:30:01,01/01/2020 00:39:06,0,1.4,No,234,114,7.5,2.25
01/01/2020 00:40:50,01/01/2020 00:50:05,0,1.5,No,114,137,8,2.35
01/01/2020 00:54:17,01/01/2020 01:08:08,0,2.5,Yes,137,144,11.5,0
01/01/2020 00:34:58,01/01/2020 00:45:28,0,2.8,No,145,224,11,0
01/01/2020 00:55:25,01/01/2020 01:10:34,0,2.6,No,137,140,11.5,3.05
01/01/2020 02:12:22,01/01/2020 02:12:27,1,0,No,265,265,65,0
01/01/2020 00:57:13,01/01/2020 00:58:05,1,0.11,No,260,260,-2.5,0
01/01/2020 00:12:24,01/01/2020 00:17:10,0,1.4,No,236,237,6,2.05
01/01/2020 00:20:50,01/01/2020 00:36:29,0,1.1,No,141,161,10.5,0.2
01/01/2020 00:39:00,01/01/2020 00:46:47,0,0.8,No,161,233,6.5,0.5
01/01/2020 02:55:43,01/01/2020 02:55:43,1,0,No,181,264,28.5,0
01/01/2020 00:48:50,01/01/2020 01:01:32,0,2.3,No,233,90,10,2.85
01/01/2020 00:37:09,01/01/2020 00:40:31,0,0.2,No,48,50,4,0
01/01/2020 00:31:06,01/01/2020 01:04:57,1,0,No,166,211,26.2,0
01/01/2020 00:22:14,01/01/2020 00:34:53,0,0.9,No,43,161,9,2.55
01/01/2020 00:17:05,01/01/2020 00:26:06,0,1.8,No,236,239,8.5,0
01/01/2020 00:31:24,01/01/2020 00:38:10,0,1.2,No,239,236,7,2.15
01/01/2020 00:42:21,01/01/2020 00:47:25,0,1.3,No,237,236,6,1.5
01/01/2020 00:50:58,01/01/2020 00:52:11,0,0.3,No,236,236,3,1.02
01/01/2020 00:44:35,01/01/2020 01:16:02,1,0,No,17,108,39.2,0
01/01/2020 00:53:01,01/01/2020 00:58:47,0,1,No,142,142,6,0
01/01/2020 00:36:31,01/01/2020 00:37:23,3,0.18,No,141,141,-3,0
